attribute,Before filtering,After filtering,sample
Q30 Bases (millions),1445.995266,1445.365253,SRX2642957_DRIPseq_B1_2_LP
Q20 Rate,0.990888,0.991411,SRX2642957_DRIPseq_B1_2_LP
Q30 Rate,0.970682,0.971256,SRX2642957_DRIPseq_B1_2_LP
Read1 Mean Length,51,51,SRX2642957_DRIPseq_B1_2_LP
GC Content,0.412852,0.412789,SRX2642957_DRIPseq_B1_2_LP
Total Reads (millions),28.456225,28.423109,SRX2642958_DRIPseq_B1_2_ML
Total Bases (millions),1451.267475,1449.578559,SRX2642958_DRIPseq_B1_2_ML
Q20 Bases (millions),1437.491937,1436.679951,SRX2642958_DRIPseq_B1_2_ML
Q30 Bases (millions),1407.326441,1406.638328,SRX2642958_DRIPseq_B1_2_ML
Q20 Rate,0.990508,0.991102,SRX2642958_DRIPseq_B1_2_ML
Q30 Rate,0.969722,0.970377,SRX2642958_DRIPseq_B1_2_ML
Read1 Mean Length,51,51,SRX2642958_DRIPseq_B1_2_ML
GC Content,0.424062,0.423964,SRX2642958_DRIPseq_B1_2_ML
Total Reads (millions),36.798823,36.770871,SRX2642959_DRIPseq_B1_3_Stromal
Total Bases (millions),1876.739973,1875.314421,SRX2642959_DRIPseq_B1_3_Stromal
Q20 Bases (millions),1856.770505,1856.080107,SRX2642959_DRIPseq_B1_3_Stromal
Q30 Bases (millions),1814.270512,1813.679889,SRX2642959_DRIPseq_B1_3_Stromal
Q20 Rate,0.989359,0.989743,SRX2642959_DRIPseq_B1_3_Stromal
Q30 Rate,0.966714,0.967134,SRX2642959_DRIPseq_B1_3_Stromal
Read1 Mean Length,51,51,SRX2642959_DRIPseq_B1_3_Stromal
GC Content,0.39281,0.392777,SRX2642959_DRIPseq_B1_3_Stromal
Total Reads (millions),44.027911,43.994544,SRX2642960_DRIPseq_B1_3_Basal
Total Bases (millions),2245.423461,2243.721744,SRX2642960_DRIPseq_B1_3_Basal
Q20 Bases (millions),2221.704314,2220.8808,SRX2642960_DRIPseq_B1_3_Basal
Q30 Bases (millions),2171.671479,2170.966369,SRX2642960_DRIPseq_B1_3_Basal
Q20 Rate,0.989437,0.98982,SRX2642960_DRIPseq_B1_3_Basal
Q30 Rate,0.967155,0.967574,SRX2642960_DRIPseq_B1_3_Basal
Read1 Mean Length,51,51,SRX2642960_DRIPseq_B1_3_Basal
GC Content,0.393078,0.393048,SRX2642960_DRIPseq_B1_3_Basal
Total Reads (millions),43.936126,43.900377,SRX2642961_DRIPseq_B1_3_LP
Total Bases (millions),2240.742426,2238.919227,SRX2642961_DRIPseq_B1_3_LP
Q20 Bases (millions),2217.172499,2216.290632,SRX2642961_DRIPseq_B1_3_LP
Q30 Bases (millions),2167.547004,2166.794332,SRX2642961_DRIPseq_B1_3_LP
Q20 Rate,0.989481,0.989893,SRX2642961_DRIPseq_B1_3_LP
Q30 Rate,0.967334,0.967786,SRX2642961_DRIPseq_B1_3_LP
Read1 Mean Length,51,51,SRX2642961_DRIPseq_B1_3_LP
GC Content,0.398357,0.398315,SRX2642961_DRIPseq_B1_3_LP
Total Reads (millions),26.440775,26.415379,SRX2642962_DRIPseq_B1_3_ML
Total Bases (millions),1348.479525,1347.184329,SRX2642962_DRIPseq_B1_3_ML
Q20 Bases (millions),1325.20267,1324.586069,SRX2642962_DRIPseq_B1_3_ML
Q30 Bases (millions),1283.579643,1283.068222,SRX2642962_DRIPseq_B1_3_ML
Q20 Rate,0.982738,0.983226,SRX2642962_DRIPseq_B1_3_ML
Q30 Rate,0.951872,0.952407,SRX2642962_DRIPseq_B1_3_ML
Read1 Mean Length,51,51,SRX2642962_DRIPseq_B1_3_ML
GC Content,0.401014,0.400948,SRX2642962_DRIPseq_B1_3_ML
Total Reads (millions),40.009736,39.952938,SRX2642963_DRIPseq_B1_4_Stromal
Total Bases (millions),2040.496536,2037.599838,SRX2642963_DRIPseq_B1_4_Stromal
Q20 Bases (millions),2004.825341,2003.437226,SRX2642963_DRIPseq_B1_4_Stromal
Q30 Bases (millions),1931.700694,1930.562392,SRX2642963_DRIPseq_B1_4_Stromal
Q20 Rate,0.982518,0.983234,SRX2642963_DRIPseq_B1_4_Stromal
Q30 Rate,0.946682,0.947469,SRX2642963_DRIPseq_B1_4_Stromal
Read1 Mean Length,51,51,SRX2642963_DRIPseq_B1_4_Stromal
GC Content,0.412936,0.412817,SRX2642963_DRIPseq_B1_4_Stromal
Total Reads (millions),32.535648,32.490088,SRX2642964_DRIPseq_B1_4_Basal
Total Bases (millions),1659.318048,1656.994488,SRX2642964_DRIPseq_B1_4_Basal
Q20 Bases (millions),1630.487072,1629.373296,SRX2642964_DRIPseq_B1_4_Basal
Q30 Bases (millions),1571.039565,1570.125536,SRX2642964_DRIPseq_B1_4_Basal
Q20 Rate,0.982625,0.983331,SRX2642964_DRIPseq_B1_4_Basal
Q30 Rate,0.946798,0.947574,SRX2642964_DRIPseq_B1_4_Basal
Read1 Mean Length,51,51,SRX2642964_DRIPseq_B1_4_Basal
GC Content,0.413257,0.413142,SRX2642964_DRIPseq_B1_4_Basal
Total Reads (millions),37.410084,37.342143,SRX2642965_DRIPseq_B1_4_LP
Total Bases (millions),1907.914284,1904.449293,SRX2642965_DRIPseq_B1_4_LP
Q20 Bases (millions),1872.06701,1870.412374,SRX2642965_DRIPseq_B1_4_LP
Q30 Bases (millions),1800.0452540000001,1798.697068,SRX2642965_DRIPseq_B1_4_LP
Q20 Rate,0.98121100000000006,0.982128,SRX2642965_DRIPseq_B1_4_LP
Q30 Rate,0.943462,0.944471,SRX2642965_DRIPseq_B1_4_LP
Read1 Mean Length,51,51,SRX2642965_DRIPseq_B1_4_LP
GC Content,0.428679,0.428473,SRX2642965_DRIPseq_B1_4_LP
Total Reads (millions),36.259748,36.200667,SRX2642966_DRIPseq_B1_4_ML
Total Bases (millions),1849.247148,1846.234017,SRX2642966_DRIPseq_B1_4_ML
Q20 Bases (millions),1815.369992,1813.929101,SRX2642966_DRIPseq_B1_4_ML
Q30 Bases (millions),1746.585249,1745.410597,SRX2642966_DRIPseq_B1_4_ML
Q20 Rate,0.981681,0.982502,SRX2642966_DRIPseq_B1_4_ML
Q30 Rate,0.944484,0.94539,SRX2642966_DRIPseq_B1_4_ML
Read1 Mean Length,51,51,SRX2642966_DRIPseq_B1_4_ML
GC Content,0.421311,0.421137,SRX2642966_DRIPseq_B1_4_ML
Total Reads (millions),31.455463,31.454279,SRX2642969_DRIPseq_B1_4_LP_RH
Total Bases (millions),1604.228613,1604.168229,SRX2642969_DRIPseq_B1_4_LP_RH
Q20 Bases (millions),1587.508717,1587.476772,SRX2642969_DRIPseq_B1_4_LP_RH
Q30 Bases (millions),1551.236626,1551.219221,SRX2642969_DRIPseq_B1_4_LP_RH
Q20 Rate,0.989578,0.989595,SRX2642969_DRIPseq_B1_4_LP_RH
Q30 Rate,0.966967,0.966993,SRX2642969_DRIPseq_B1_4_LP_RH
Read1 Mean Length,51,51,SRX2642969_DRIPseq_B1_4_LP_RH
GC Content,0.435406,0.435406,SRX2642969_DRIPseq_B1_4_LP_RH
Total Reads (millions),28.994844,28.993725,SRX2642970_DRIPseq_B1_4_ML_RH
Total Bases (millions),1478.737044,1478.679975,SRX2642970_DRIPseq_B1_4_ML_RH
Q20 Bases (millions),1463.255772,1463.225788,SRX2642970_DRIPseq_B1_4_ML_RH
Q30 Bases (millions),1429.124854,1429.108683,SRX2642970_DRIPseq_B1_4_ML_RH
Q20 Rate,0.989531,0.989549,SRX2642970_DRIPseq_B1_4_ML_RH
Q30 Rate,0.96645,0.966476,SRX2642970_DRIPseq_B1_4_ML_RH
Read1 Mean Length,51,51,SRX2642970_DRIPseq_B1_4_ML_RH
GC Content,0.459263,0.459263,SRX2642970_DRIPseq_B1_4_ML_RH
Total Reads (millions),22.405416,21.372389,SRX2675003_HKE293-D210N-V5ChIP-Rep1
Total Bases (millions),896.21664,854.89556,SRX2675003_HKE293-D210N-V5ChIP-Rep1
Q20 Bases (millions),831.908202,825.586112,SRX2675003_HKE293-D210N-V5ChIP-Rep1
Q30 Bases (millions),781.105725,777.986543,SRX2675003_HKE293-D210N-V5ChIP-Rep1
Q20 Rate,0.928245,0.965716,SRX2675003_HKE293-D210N-V5ChIP-Rep1
Q30 Rate,0.871559,0.910037,SRX2675003_HKE293-D210N-V5ChIP-Rep1
Read1 Mean Length,40,40,SRX2675003_HKE293-D210N-V5ChIP-Rep1
GC Content,0.453165,0.451706,SRX2675003_HKE293-D210N-V5ChIP-Rep1
Total Reads (millions),17.763614,17.531175,SRX2675005_HKE293-D210N-V5ChIP-Rep2
Total Bases (millions),710.54456,701.247,SRX2675005_HKE293-D210N-V5ChIP-Rep2
Q20 Bases (millions),692.360088,691.042922,SRX2675005_HKE293-D210N-V5ChIP-Rep2
Q30 Bases (millions),675.285618,674.701996,SRX2675005_HKE293-D210N-V5ChIP-Rep2
Q20 Rate,0.974408,0.985449,SRX2675005_HKE293-D210N-V5ChIP-Rep2
Q30 Rate,0.950378,0.962146,SRX2675005_HKE293-D210N-V5ChIP-Rep2
Read1 Mean Length,40,40,SRX2675005_HKE293-D210N-V5ChIP-Rep2
GC Content,0.431882,0.43161,SRX2675005_HKE293-D210N-V5ChIP-Rep2
Total Reads (millions),8.799855,8.524113,SRX2675007_HKE293-D210N-V5ChIP-Rep3
Total Bases (millions),351.9942,340.96452,SRX2675007_HKE293-D210N-V5ChIP-Rep3
Q20 Bases (millions),332.077512,330.396328,SRX2675007_HKE293-D210N-V5ChIP-Rep3
Q30 Bases (millions),316.531027,315.856283,SRX2675007_HKE293-D210N-V5ChIP-Rep3
Q20 Rate,0.943418,0.969005,SRX2675007_HKE293-D210N-V5ChIP-Rep3
Q30 Rate,0.899251,0.926361,SRX2675007_HKE293-D210N-V5ChIP-Rep3
Read1 Mean Length,40,40,SRX2675007_HKE293-D210N-V5ChIP-Rep3
GC Content,0.446944,0.445308,SRX2675007_HKE293-D210N-V5ChIP-Rep3
Total Reads (millions),12.734577,12.610857,SRX2675009_HKE293-WKKD-V5ChIP
Total Bases (millions),509.38308,504.43428,SRX2675009_HKE293-WKKD-V5ChIP
Q20 Bases (millions),499.817573,498.833442,SRX2675009_HKE293-WKKD-V5ChIP
Q30 Bases (millions),490.993684,490.483327,SRX2675009_HKE293-WKKD-V5ChIP
Q20 Rate,0.981221,0.988897,SRX2675009_HKE293-WKKD-V5ChIP
Q30 Rate,0.963899,0.972343,SRX2675009_HKE293-WKKD-V5ChIP
Read1 Mean Length,40,40,SRX2675009_HKE293-WKKD-V5ChIP
GC Content,0.41601900000000003,0.415875,SRX2675009_HKE293-WKKD-V5ChIP
Total Reads (millions),25.174573,23.53562,SRX2675011_HKE293-ΔHC-V5ChIP
Total Bases (millions),1006.98292,941.4248,SRX2675011_HKE293-ΔHC-V5ChIP
Q20 Bases (millions),913.32738,904.832815,SRX2675011_HKE293-ΔHC-V5ChIP
Q30 Bases (millions),851.787575,847.80314,SRX2675011_HKE293-ΔHC-V5ChIP
Q20 Rate,0.906994,0.961131,SRX2675011_HKE293-ΔHC-V5ChIP
Q30 Rate,0.845881,0.900553,SRX2675011_HKE293-ΔHC-V5ChIP
Read1 Mean Length,40,40,SRX2675011_HKE293-ΔHC-V5ChIP
GC Content,0.441634,0.440172,SRX2675011_HKE293-ΔHC-V5ChIP
Total Reads (millions),25.743219,25.305275,SRX2675012_K562-D210N-V5ChIP-Rep1
Total Bases (millions),1029.72876,1012.211,SRX2675012_K562-D210N-V5ChIP-Rep1
Q20 Bases (millions),992.308176,984.749765,SRX2675012_K562-D210N-V5ChIP-Rep1
Q30 Bases (millions),955.255159,951.766624,SRX2675012_K562-D210N-V5ChIP-Rep1
Q20 Rate,0.96366,0.97287,SRX2675012_K562-D210N-V5ChIP-Rep1
Q30 Rate,0.927676,0.940285,SRX2675012_K562-D210N-V5ChIP-Rep1
Read1 Mean Length,40,40,SRX2675012_K562-D210N-V5ChIP-Rep1
GC Content,0.430402,0.429812,SRX2675012_K562-D210N-V5ChIP-Rep1
Total Reads (millions),21.558105,21.190261,SRX2675013_K562-D210N-V5ChIP-Rep2
Total Bases (millions),862.3242,847.61044,SRX2675013_K562-D210N-V5ChIP-Rep2
Q20 Bases (millions),832.66375,826.461468,SRX2675013_K562-D210N-V5ChIP-Rep2
Q30 Bases (millions),803.827303,801.002839,SRX2675013_K562-D210N-V5ChIP-Rep2
Q20 Rate,0.965604,0.975049,SRX2675013_K562-D210N-V5ChIP-Rep2
Q30 Rate,0.932164,0.945013,SRX2675013_K562-D210N-V5ChIP-Rep2
Read1 Mean Length,40,40,SRX2675013_K562-D210N-V5ChIP-Rep2
GC Content,0.421722,0.421161,SRX2675013_K562-D210N-V5ChIP-Rep2
Total Reads (millions),12.794301,12.592536,SRX2675016_HKE293-DRB--V5ChIP-Rep1
Total Bases (millions),511.77204,503.70144,SRX2675016_HKE293-DRB--V5ChIP-Rep1
Q20 Bases (millions),495.361802,491.986472,SRX2675016_HKE293-DRB--V5ChIP-Rep1
Q30 Bases (millions),479.545073,478.009527,SRX2675016_HKE293-DRB--V5ChIP-Rep1
Q20 Rate,0.967934,0.976742,SRX2675016_HKE293-DRB--V5ChIP-Rep1
Q30 Rate,0.937029,0.948994,SRX2675016_HKE293-DRB--V5ChIP-Rep1
Read1 Mean Length,40,40,SRX2675016_HKE293-DRB--V5ChIP-Rep1
GC Content,0.424987,0.424492,SRX2675016_HKE293-DRB--V5ChIP-Rep1
Total Reads (millions),13.197729,12.986051,SRX2675017_HKE293-DRB--V5ChIP-Rep2
Total Bases (millions),527.90916,519.44204,SRX2675017_HKE293-DRB--V5ChIP-Rep2
Q20 Bases (millions),510.284651,506.743215,SRX2675017_HKE293-DRB--V5ChIP-Rep2
Q30 Bases (millions),492.991397,491.387412,SRX2675017_HKE293-DRB--V5ChIP-Rep2
Q20 Rate,0.966615,0.975553,SRX2675017_HKE293-DRB--V5ChIP-Rep2
Q30 Rate,0.933856,0.945991,SRX2675017_HKE293-DRB--V5ChIP-Rep2
Read1 Mean Length,40,40,SRX2675017_HKE293-DRB--V5ChIP-Rep2
GC Content,0.427481,0.426949,SRX2675017_HKE293-DRB--V5ChIP-Rep2
Total Reads (millions),16.754096,16.475809,SRX2675018_HKE293-DRBand-V5ChIP-Rep1
Total Bases (millions),670.16384,659.03236,SRX2675018_HKE293-DRBand-V5ChIP-Rep1
Q20 Bases (millions),647.393012,642.692571,SRX2675018_HKE293-DRBand-V5ChIP-Rep1
Q30 Bases (millions),625.413051,623.265361,SRX2675018_HKE293-DRBand-V5ChIP-Rep1
Q20 Rate,0.966022,0.975206,SRX2675018_HKE293-DRBand-V5ChIP-Rep1
Q30 Rate,0.933224,0.945728,SRX2675018_HKE293-DRBand-V5ChIP-Rep1
Read1 Mean Length,40,40,SRX2675018_HKE293-DRBand-V5ChIP-Rep1
GC Content,0.43909,0.438559,SRX2675018_HKE293-DRBand-V5ChIP-Rep1
Total Reads (millions),12.654603,12.448581,SRX2675019_HKE293-DRBand-V5ChIP-Rep2
Total Bases (millions),506.18412,497.94324,SRX2675019_HKE293-DRBand-V5ChIP-Rep2
Q20 Bases (millions),489.668803,486.198376,SRX2675019_HKE293-DRBand-V5ChIP-Rep2
Q30 Bases (millions),473.860385,472.273361,SRX2675019_HKE293-DRBand-V5ChIP-Rep2
Q20 Rate,0.967373,0.976413,SRX2675019_HKE293-DRBand-V5ChIP-Rep2
Q30 Rate,0.936142,0.948448,SRX2675019_HKE293-DRBand-V5ChIP-Rep2
Read1 Mean Length,40,40,SRX2675019_HKE293-DRBand-V5ChIP-Rep2
GC Content,0.439015,0.438563,SRX2675019_HKE293-DRBand-V5ChIP-Rep2
Total Reads (millions),15.372578,15.118428,SRX2675020_HKE293-Post-DRB-V5ChIP-Rep1
Total Bases (millions),614.90312,604.73712,SRX2675020_HKE293-Post-DRB-V5ChIP-Rep1
Q20 Bases (millions),594.493578,590.180346,SRX2675020_HKE293-Post-DRB-V5ChIP-Rep1
Q30 Bases (millions),574.874986,572.898561,SRX2675020_HKE293-Post-DRB-V5ChIP-Rep1
Q20 Rate,0.966809,0.975929,SRX2675020_HKE293-Post-DRB-V5ChIP-Rep1
Q30 Rate,0.934903,0.947351,SRX2675020_HKE293-Post-DRB-V5ChIP-Rep1
Read1 Mean Length,40,40,SRX2675020_HKE293-Post-DRB-V5ChIP-Rep1
GC Content,0.429205,0.4287,SRX2675020_HKE293-Post-DRB-V5ChIP-Rep1
Total Reads (millions),12.470716,12.246508,SRX2675021_HKE293-Post-DRB-V5ChIP-Rep2
Total Bases (millions),498.82864,489.86032,SRX2675021_HKE293-Post-DRB-V5ChIP-Rep2
Q20 Bases (millions),481.672654,477.980424,SRX2675021_HKE293-Post-DRB-V5ChIP-Rep2
Q30 Bases (millions),465.46085,463.810395,SRX2675021_HKE293-Post-DRB-V5ChIP-Rep2
Q20 Rate,0.965607,0.975748,SRX2675021_HKE293-Post-DRB-V5ChIP-Rep2
Q30 Rate,0.933108,0.946822,SRX2675021_HKE293-Post-DRB-V5ChIP-Rep2
Read1 Mean Length,40,40,SRX2675021_HKE293-Post-DRB-V5ChIP-Rep2
GC Content,0.425543,0.424974,SRX2675021_HKE293-Post-DRB-V5ChIP-Rep2
Total Reads (millions),15.451572,15.336789,SRX2683574_chipseqSRSF2P95H5h_V5_rep1
Total Bases (millions),618.06288,613.47156,SRX2683574_chipseqSRSF2P95H5h_V5_rep1
Q20 Bases (millions),599.692803,599.122325,SRX2683574_chipseqSRSF2P95H5h_V5_rep1
Q30 Bases (millions),578.746891,578.517656,SRX2683574_chipseqSRSF2P95H5h_V5_rep1
Q20 Rate,0.970278,0.97661,SRX2683574_chipseqSRSF2P95H5h_V5_rep1
Q30 Rate,0.936388,0.943023,SRX2683574_chipseqSRSF2P95H5h_V5_rep1
Read1 Mean Length,40,40,SRX2683574_chipseqSRSF2P95H5h_V5_rep1
GC Content,0.425751,0.425396,SRX2683574_chipseqSRSF2P95H5h_V5_rep1
Total Reads (millions),20.705275,20.53837,SRX2683575_chipseqSRSF2P95H5h_V5_rep2
Total Bases (millions),828.211,821.5348,SRX2683575_chipseqSRSF2P95H5h_V5_rep2
Q20 Bases (millions),801.56668,800.711095,SRX2683575_chipseqSRSF2P95H5h_V5_rep2
Q30 Bases (millions),771.263135,770.924916,SRX2683575_chipseqSRSF2P95H5h_V5_rep2
Q20 Rate,0.967829,0.974653,SRX2683575_chipseqSRSF2P95H5h_V5_rep2
Q30 Rate,0.93124,0.938396,SRX2683575_chipseqSRSF2P95H5h_V5_rep2
Read1 Mean Length,40,40,SRX2683575_chipseqSRSF2P95H5h_V5_rep2
GC Content,0.438894,0.438498,SRX2683575_chipseqSRSF2P95H5h_V5_rep2
Total Reads (millions),16.013479,15.894285,SRX2683578_chipseqSRSF2P95HCtr_V5_rep1
Total Bases (millions),640.53916,635.7714,SRX2683578_chipseqSRSF2P95HCtr_V5_rep1
Q20 Bases (millions),621.738274,621.156486,SRX2683578_chipseqSRSF2P95HCtr_V5_rep1
Q30 Bases (millions),600.242097,600.008074,SRX2683578_chipseqSRSF2P95HCtr_V5_rep1
Q20 Rate,0.970648,0.977012,SRX2683578_chipseqSRSF2P95HCtr_V5_rep1
Q30 Rate,0.937089,0.943748,SRX2683578_chipseqSRSF2P95HCtr_V5_rep1
Read1 Mean Length,40,40,SRX2683578_chipseqSRSF2P95HCtr_V5_rep1
GC Content,0.425132,0.424783,SRX2683578_chipseqSRSF2P95HCtr_V5_rep1
Total Reads (millions),16.871569,16.776836,SRX2683579_chipseqSRSF2P95HCtr_V5_rep2
Total Bases (millions),674.86276,671.07344,SRX2683579_chipseqSRSF2P95HCtr_V5_rep2
Q20 Bases (millions),658.984563,658.476662,SRX2683579_chipseqSRSF2P95HCtr_V5_rep2
Q30 Bases (millions),639.710548,639.496678,SRX2683579_chipseqSRSF2P95HCtr_V5_rep2
Q20 Rate,0.976472,0.981229,SRX2683579_chipseqSRSF2P95HCtr_V5_rep2
Q30 Rate,0.947912,0.952946,SRX2683579_chipseqSRSF2P95HCtr_V5_rep2
Read1 Mean Length,40,40,SRX2683579_chipseqSRSF2P95HCtr_V5_rep2
GC Content,0.438116,0.437831,SRX2683579_chipseqSRSF2P95HCtr_V5_rep2
Total Reads (millions),21.044265,20.88405,SRX2683586_chipseqSRSF2WT5h_V5_rep1
Total Bases (millions),841.7706,835.362,SRX2683586_chipseqSRSF2WT5h_V5_rep1
Q20 Bases (millions),818.178625,817.037942,SRX2683586_chipseqSRSF2WT5h_V5_rep1
Q30 Bases (millions),793.33321,792.71739,SRX2683586_chipseqSRSF2WT5h_V5_rep1
Q20 Rate,0.971973,0.978065,SRX2683586_chipseqSRSF2WT5h_V5_rep1
Q30 Rate,0.942458,0.948951,SRX2683586_chipseqSRSF2WT5h_V5_rep1
Read1 Mean Length,40,40,SRX2683586_chipseqSRSF2WT5h_V5_rep1
GC Content,0.417235,0.417027,SRX2683586_chipseqSRSF2WT5h_V5_rep1
Total Reads (millions),13.334383,13.256438,SRX2683587_chipseqSRSF2WT5h_V5_rep2
Total Bases (millions),533.37532,530.25752,SRX2683587_chipseqSRSF2WT5h_V5_rep2
Q20 Bases (millions),520.907426,520.485981,SRX2683587_chipseqSRSF2WT5h_V5_rep2
Q30 Bases (millions),506.420909,506.234734,SRX2683587_chipseqSRSF2WT5h_V5_rep2
Q20 Rate,0.976625,0.981572,SRX2683587_chipseqSRSF2WT5h_V5_rep2
Q30 Rate,0.949464,0.954696,SRX2683587_chipseqSRSF2WT5h_V5_rep2
Read1 Mean Length,40,40,SRX2683587_chipseqSRSF2WT5h_V5_rep2
GC Content,0.42891,0.428621,SRX2683587_chipseqSRSF2WT5h_V5_rep2
Total Reads (millions),21.720397,21.545835,SRX2683590_chipseqSRSF2WTCtr_V5_rep1
Total Bases (millions),868.81588,861.8334,SRX2683590_chipseqSRSF2WTCtr_V5_rep1
Q20 Bases (millions),843.157774,841.953574,SRX2683590_chipseqSRSF2WTCtr_V5_rep1
Q30 Bases (millions),816.179536,815.538406,SRX2683590_chipseqSRSF2WTCtr_V5_rep1
Q20 Rate,0.970468,0.976933,SRX2683590_chipseqSRSF2WTCtr_V5_rep1
Q30 Rate,0.939416,0.946283,SRX2683590_chipseqSRSF2WTCtr_V5_rep1
Read1 Mean Length,40,40,SRX2683590_chipseqSRSF2WTCtr_V5_rep1
GC Content,0.420273,0.420027,SRX2683590_chipseqSRSF2WTCtr_V5_rep1
Total Reads (millions),10.696126,10.62909,SRX2683591_chipseqSRSF2WTCtr_V5_rep2
Total Bases (millions),427.84504,425.1636,SRX2683591_chipseqSRSF2WTCtr_V5_rep2
Q20 Bases (millions),417.589155,417.243135,SRX2683591_chipseqSRSF2WTCtr_V5_rep2
Q30 Bases (millions),405.817941,405.663126,SRX2683591_chipseqSRSF2WTCtr_V5_rep2
Q20 Rate,0.976029,0.981371,SRX2683591_chipseqSRSF2WTCtr_V5_rep2
Q30 Rate,0.948516,0.954134,SRX2683591_chipseqSRSF2WTCtr_V5_rep2
Read1 Mean Length,40,40,SRX2683591_chipseqSRSF2WTCtr_V5_rep2
GC Content,0.43145,0.431104,SRX2683591_chipseqSRSF2WTCtr_V5_rep2
Total Reads (millions),12.752188,12.515266,SRX2683594_chipseqU2AF35Q157P5h_V5_rep1
Total Bases (millions),510.08752,500.61064,SRX2683594_chipseqU2AF35Q157P5h_V5_rep1
Q20 Bases (millions),491.587882,487.678197,SRX2683594_chipseqU2AF35Q157P5h_V5_rep1
Q30 Bases (millions),473.31623,471.637492,SRX2683594_chipseqU2AF35Q157P5h_V5_rep1
Q20 Rate,0.963732,0.974167,SRX2683594_chipseqU2AF35Q157P5h_V5_rep1
Q30 Rate,0.927912,0.942124,SRX2683594_chipseqU2AF35Q157P5h_V5_rep1
Read1 Mean Length,40,40,SRX2683594_chipseqU2AF35Q157P5h_V5_rep1
GC Content,0.4266,0.425761,SRX2683594_chipseqU2AF35Q157P5h_V5_rep1
Total Reads (millions),12.043242,11.824506,SRX2683595_chipseqU2AF35Q157P5h_V5_rep2
Total Bases (millions),481.72968,472.98024,SRX2683595_chipseqU2AF35Q157P5h_V5_rep2
Q20 Bases (millions),464.545246,460.918043,SRX2683595_chipseqU2AF35Q157P5h_V5_rep2
Q30 Bases (millions),447.186262,445.634187,SRX2683595_chipseqU2AF35Q157P5h_V5_rep2
Q20 Rate,0.964328,0.974497,SRX2683595_chipseqU2AF35Q157P5h_V5_rep2
Q30 Rate,0.928293,0.942184,SRX2683595_chipseqU2AF35Q157P5h_V5_rep2
Read1 Mean Length,40,40,SRX2683595_chipseqU2AF35Q157P5h_V5_rep2
GC Content,0.426499,0.425673,SRX2683595_chipseqU2AF35Q157P5h_V5_rep2
Total Reads (millions),11.722191,11.5075,SRX2683597_chipseqU2AF35Q157PCtr_V5_rep1
Total Bases (millions),468.88764,460.3,SRX2683597_chipseqU2AF35Q157PCtr_V5_rep1
Q20 Bases (millions),452.696198,449.142008,SRX2683597_chipseqU2AF35Q157PCtr_V5_rep1
Q30 Bases (millions),436.98018,435.433438,SRX2683597_chipseqU2AF35Q157PCtr_V5_rep1
Q20 Rate,0.965468,0.975759,SRX2683597_chipseqU2AF35Q157PCtr_V5_rep1
Q30 Rate,0.931951,0.945977,SRX2683597_chipseqU2AF35Q157PCtr_V5_rep1
Read1 Mean Length,40,40,SRX2683597_chipseqU2AF35Q157PCtr_V5_rep1
GC Content,0.426117,0.4254,SRX2683597_chipseqU2AF35Q157PCtr_V5_rep1
Total Reads (millions),11.376343,11.174836,SRX2683598_chipseqU2AF35Q157PCtr_V5_rep2
Total Bases (millions),455.05372,446.99344,SRX2683598_chipseqU2AF35Q157PCtr_V5_rep2
Q20 Bases (millions),439.106985,435.779859,SRX2683598_chipseqU2AF35Q157PCtr_V5_rep2
Q30 Bases (millions),423.173841,421.745359,SRX2683598_chipseqU2AF35Q157PCtr_V5_rep2
Q20 Rate,0.964956,0.974913,SRX2683598_chipseqU2AF35Q157PCtr_V5_rep2
Q30 Rate,0.929943,0.943516,SRX2683598_chipseqU2AF35Q157PCtr_V5_rep2
Read1 Mean Length,40,40,SRX2683598_chipseqU2AF35Q157PCtr_V5_rep2
GC Content,0.421901,0.42111,SRX2683598_chipseqU2AF35Q157PCtr_V5_rep2
Total Reads (millions),14.82104,14.522481,SRX2683601_chipseqU2AF35WT5h_V5_rep1
Total Bases (millions),592.8416,580.89924,SRX2683601_chipseqU2AF35WT5h_V5_rep1
Q20 Bases (millions),569.167163,564.136527,SRX2683601_chipseqU2AF35WT5h_V5_rep1
Q30 Bases (millions),545.277303,543.099864,SRX2683601_chipseqU2AF35WT5h_V5_rep1
Q20 Rate,0.960066,0.971144,SRX2683601_chipseqU2AF35WT5h_V5_rep1
Q30 Rate,0.919769,0.93493,SRX2683601_chipseqU2AF35WT5h_V5_rep1
Read1 Mean Length,40,40,SRX2683601_chipseqU2AF35WT5h_V5_rep1
GC Content,0.432249,0.431278,SRX2683601_chipseqU2AF35WT5h_V5_rep1
Total Reads (millions),12.946157,12.638234,SRX2683602_chipseqU2AF35WT5h_V5_rep2
Total Bases (millions),517.84628,505.52936,SRX2683602_chipseqU2AF35WT5h_V5_rep2
Q20 Bases (millions),495.997661,490.797446,SRX2683602_chipseqU2AF35WT5h_V5_rep2
Q30 Bases (millions),474.571394,472.307991,SRX2683602_chipseqU2AF35WT5h_V5_rep2
Q20 Rate,0.957809,0.970858,SRX2683602_chipseqU2AF35WT5h_V5_rep2
Q30 Rate,0.916433,0.934284,SRX2683602_chipseqU2AF35WT5h_V5_rep2
Read1 Mean Length,40,40,SRX2683602_chipseqU2AF35WT5h_V5_rep2
